,customer_id,name,age,gender,marital_status,education,occupation,salary,loan_amount,credit_limit,credit_utilization,emi_paid,tenure_months,max_dpd,default_status,product_type,enquiry_amount,unique_products_enquired,total_enquiries,transaction_amount,account_balance,is_salary,Credit Card,Home Loan,Personal Loan
5,00b01db1-91dd-4e66-bcbc-6307dfa37156,Bridget Evans,30,Female,Single,Master,Legal executive,53171,131803.66666666666,131204.0,0.44778346363856014,54.0,29.0,90.0,0.6666666666666666,Personal Loan,,,,0.0,14932.71600966502,0.0,False,False,True
5,00b01db1-91dd-4e66-bcbc-6307dfa37156,Bridget Evans,30,Female,Single,Master,Legal executive,53171,131803.66666666666,131204.0,0.44778346363856014,54.0,29.0,90.0,0.6666666666666666,Credit Card,,,,0.0,14932.71600966502,0.0,True,False,False
6,8338197a-4aef-4d1a-b409-cd9a8a2ddfc3,Kenneth Simpson,63,Male,Divorced,PhD,Financial planner,75944,160514.25,85608.75,0.5471871348275891,143.0,36.75,120.0,0.375,Credit Card,69419.66666666667,1.0,3.0,0.0,8466.348886401287,0.0,True,False,False
6,8338197a-4aef-4d1a-b409-cd9a8a2ddfc3,Kenneth Simpson,63,Male,Divorced,PhD,Financial planner,75944,160514.25,85608.75,0.5471871348275891,143.0,36.75,120.0,0.375,Home Loan,69419.66666666667,1.0,3.0,0.0,8466.348886401287,0.0,False,True,False
7,69bedddb-657b-4412-b39e-0a7dbfbcca69,Carl Santiago,42,Female,Divorced,Master,Games developer,148314,347253.0,,,6.0,46.0,15.0,0.0,Home Loan,,,,4960.795847021415,10274.71106718642,1.0,False,True,False
8,6bde3744-b7b0-488e-826a-2dfd741db01c,Michelle Flores,21,Male,Divorced,Master,Telecommunications researcher,22591,215737.5,102944.0,0.31049883648325777,42.0,39.333333333333336,120.0,0.5,Credit Card,,,,9436.080355479897,12754.79453613934,2.0,True,False,False
8,6bde3744-b7b0-488e-826a-2dfd741db01c,Michelle Flores,21,Male,Divorced,Master,Telecommunications researcher,22591,215737.5,102944.0,0.31049883648325777,42.0,39.333333333333336,120.0,0.5,Personal Loan,,,,9436.080355479897,12754.79453613934,2.0,False,False,True
8,6bde3744-b7b0-488e-826a-2dfd741db01c,Michelle Flores,21,Male,Divorced,Master,Telecommunications researcher,22591,215737.5,102944.0,0.31049883648325777,42.0,39.333333333333336,120.0,0.5,Home Loan,,,,9436.080355479897,12754.79453613934,2.0,False,True,False
9,4700acdf-f8c7-4b75-9888-1f61d7c3fc12,Rebekah Taylor,22,Male,Married,Bachelor,Information officer,65861,190707.25,,,71.0,32.0,120.0,0.5,Personal Loan,,,,0.0,9077.60757694698,0.0,False,False,True
9,4700acdf-f8c7-4b75-9888-1f61d7c3fc12,Rebekah Taylor,22,Male,Married,Bachelor,Information officer,65861,190707.25,,,71.0,32.0,120.0,0.5,Home Loan,,,,0.0,9077.60757694698,0.0,False,True,False
10,061e6d84-12fc-41c1-9fb6-f615a11617d8,Elaine Blair,21,Male,Divorced,PhD,Naval architect,102392,84995.8,61152.666666666664,0.4520410547406704,57.0,40.8,120.0,0.4,Home Loan,,,,0.0,5383.470903331986,0.0,False,True,False
10,061e6d84-12fc-41c1-9fb6-f615a11617d8,Elaine Blair,21,Male,Divorced,PhD,Naval architect,102392,84995.8,61152.666666666664,0.4520410547406704,57.0,40.8,120.0,0.4,Credit Card,,,,0.0,5383.470903331986,0.0,True,False,False
11,dfb8e2cd-6f16-4647-bea0-35181df4850f,Tyler Martinez,33,Female,Married,High School,Private music teacher,61459,153906.2857142857,128091.0,0.2912786231876759,89.0,30.714285714285715,120.0,0.5714285714285714,Credit Card,287854.0,1.0,1.0,0.0,4390.413850108196,0.0,True,False,False
11,dfb8e2cd-6f16-4647-bea0-35181df4850f,Tyler Martinez,33,Female,Married,High School,Private music teacher,61459,153906.2857142857,128091.0,0.2912786231876759,89.0,30.714285714285715,120.0,0.5714285714285714,Home Loan,287854.0,1.0,1.0,0.0,4390.413850108196,0.0,False,True,False
11,dfb8e2cd-6f16-4647-bea0-35181df4850f,Tyler Martinez,33,Female,Married,High School,Private music teacher,61459,153906.2857142857,128091.0,0.2912786231876759,89.0,30.714285714285715,120.0,0.5714285714285714,Personal Loan,287854.0,1.0,1.0,0.0,4390.413850108196,0.0,False,False,True
12,0e9d99e2-f12b-4a02-924f-c886d70c3b87,Melinda Morales,61,Female,Married,Master,Armed forces training and education officer,109988,313346.3333333333,,,50.0,50.666666666666664,90.0,0.3333333333333333,Home Loan,74301.0,1.0,1.0,5165.367545994276,10227.034851432601,1.0,False,True,False
13,d1efc80a-8645-4e0a-959b-df3ede743d62,Alfred Horne,56,Male,Married,Bachelor,Industrial/product designer,28385,100834.66666666667,115013.0,0.22620302467245404,48.0,32.666666666666664,120.0,0.3333333333333333,Home Loan,148963.0,1.0,1.0,0.0,11333.274481395012,0.0,False,True,False
13,d1efc80a-8645-4e0a-959b-df3ede743d62,Alfred Horne,56,Male,Married,Bachelor,Industrial/product designer,28385,100834.66666666667,115013.0,0.22620302467245404,48.0,32.666666666666664,120.0,0.3333333333333333,Credit Card,148963.0,1.0,1.0,0.0,11333.274481395012,0.0,True,False,False
14,be878aa4-b1a0-48e7-a5ce-645ac5aec3c1,Kenneth Vargas,26,Male,Married,PhD,"Engineer, materials",80144,453744.3333333333,,,41.0,33.0,90.0,0.3333333333333333,Personal Loan,164067.0,1.0,1.0,9557.788941508206,8938.57361640224,1.0,False,False,True
15,a3e7d269-24c2-4490-88ec-48f35ebab683,Kevin Shelton,60,Male,Single,PhD,Arboriculturist,83623,137924.33333333334,29194.0,0.6425654591515045,40.0,17.0,90.0,0.6666666666666666,Credit Card,,,,8012.65149274852,8311.263328885218,1.0,True,False,False
15,a3e7d269-24c2-4490-88ec-48f35ebab683,Kevin Shelton,60,Male,Single,PhD,Arboriculturist,83623,137924.33333333334,29194.0,0.6425654591515045,40.0,17.0,90.0,0.6666666666666666,Personal Loan,,,,8012.65149274852,8311.263328885218,1.0,False,False,True
16,c54bbe25-339e-49cf-9ace-98c5ac61bb47,Lisa Barnes,66,Female,Single,Master,"Engineer, energy",84146,190378.25,70086.5,0.7031491402176442,46.0,30.5,90.0,0.5,Credit Card,,,,7773.851842296593,9790.90144491177,1.0,True,False,False
16,c54bbe25-339e-49cf-9ace-98c5ac61bb47,Lisa Barnes,66,Female,Single,Master,"Engineer, energy",84146,190378.25,70086.5,0.7031491402176442,46.0,30.5,90.0,0.5,Personal Loan,,,,7773.851842296593,9790.90144491177,1.0,False,False,True
17,2447f620-e818-49ae-ac8f-e94b79ee146e,Anthony Lloyd,30,Male,Single,High School,Emergency planning/management officer,90319,94785.0,80449.5,0.4705084133064619,41.0,42.0,120.0,0.3333333333333333,Credit Card,444503.0,1.0,1.0,3287.4137012108527,9750.454372954135,1.0,True,False,False
17,2447f620-e818-49ae-ac8f-e94b79ee146e,Anthony Lloyd,30,Male,Single,High School,Emergency planning/management officer,90319,94785.0,80449.5,0.4705084133064619,41.0,42.0,120.0,0.3333333333333333,Home Loan,444503.0,1.0,1.0,3287.4137012108527,9750.454372954135,1.0,False,True,False
18,862ce474-ccc3-49ed-b1ee-c4f17b6cfa2d,Linda Williams,55,Female,Single,High School,Quality manager,138207,402277.0,,,19.0,15.0,90.0,1.0,Personal Loan,,,,7479.838155191211,8883.461927530958,1.0,False,False,True
19,8c9d24af-f398-4289-a7d5-4536eea4b35d,Jeffrey Williams,57,Female,Married,Master,Statistician,87856,309536.0,1433.0,0.8091212164598279,66.0,32.2,120.0,0.6,Credit Card,,,,7970.213487982009,13156.529079147567,1.0,True,False,False
19,8c9d24af-f398-4289-a7d5-4536eea4b35d,Jeffrey Williams,57,Female,Married,Master,Statistician,87856,309536.0,1433.0,0.8091212164598279,66.0,32.2,120.0,0.6,Home Loan,,,,7970.213487982009,13156.529079147567,1.0,False,True,False
19,8c9d24af-f398-4289-a7d5-4536eea4b35d,Jeffrey Williams,57,Female,Married,Master,Statistician,87856,309536.0,1433.0,0.8091212164598279,66.0,32.2,120.0,0.6,Personal Loan,,,,7970.213487982009,13156.529079147567,1.0,False,False,True
20,d168f67c-702d-4a83-bad8-bc99cd6cc68a,Jessica Wright,67,Male,Single,Master,"Education officer, museum",69569,122466.33333333333,106234.0,0.4778213698968059,49.0,32.666666666666664,120.0,0.0,Home Loan,409513.0,2.0,2.0,0.0,12009.925795634,0.0,False,True,False
20,d168f67c-702d-4a83-bad8-bc99cd6cc68a,Jessica Wright,67,Male,Single,Master,"Education officer, museum",69569,122466.33333333333,106234.0,0.4778213698968059,49.0,32.666666666666664,120.0,0.0,Credit Card,409513.0,2.0,2.0,0.0,12009.925795634,0.0,True,False,False
20,d168f67c-702d-4a83-bad8-bc99cd6cc68a,Jessica Wright,67,Male,Single,Master,"Education officer, museum",69569,122466.33333333333,106234.0,0.4778213698968059,49.0,32.666666666666664,120.0,0.0,Personal Loan,409513.0,2.0,2.0,0.0,12009.925795634,0.0,False,False,True
21,1100293d-cccf-4818-a323-0d62be1a25a8,William Walters,57,Female,Single,Bachelor,"Biochemist, clinical",28975,240768.66666666666,82799.0,0.826790364886433,29.0,38.666666666666664,120.0,0.6666666666666666,Home Loan,,,,0.0,6565.059378798828,0.0,False,True,False
21,1100293d-cccf-4818-a323-0d62be1a25a8,William Walters,57,Female,Single,Bachelor,"Biochemist, clinical",28975,240768.66666666666,82799.0,0.826790364886433,29.0,38.666666666666664,120.0,0.6666666666666666,Credit Card,,,,0.0,6565.059378798828,0.0,True,False,False
22,f95fd2fa-8fd1-4f4f-bebe-b25db8e5e995,Rachel Murray,36,Male,Married,Master,Environmental consultant,136393,143397.33333333334,98794.0,0.33198180689424717,48.0,29.333333333333332,30.0,0.6666666666666666,Credit Card,,,,2067.875281297568,14713.286394988676,1.0,True,False,False
22,f95fd2fa-8fd1-4f4f-bebe-b25db8e5e995,Rachel Murray,36,Male,Married,Master,Environmental consultant,136393,143397.33333333334,98794.0,0.33198180689424717,48.0,29.333333333333332,30.0,0.6666666666666666,Home Loan,,,,2067.875281297568,14713.286394988676,1.0,False,True,False
22,f95fd2fa-8fd1-4f4f-bebe-b25db8e5e995,Rachel Murray,36,Male,Married,Master,Environmental consultant,136393,143397.33333333334,98794.0,0.33198180689424717,48.0,29.333333333333332,30.0,0.6666666666666666,Personal Loan,,,,2067.875281297568,14713.286394988676,1.0,False,False,True
23,d998ad4f-9e65-4d13-a6c1-5858c89421e1,John Reynolds,22,Female,Single,PhD,Hospital doctor,83434,206372.0,,,14.0,45.0,0.0,0.0,Personal Loan,302128.0,1.0,1.0,16219.973057108777,9219.190288191698,3.0,False,False,True
24,4614895b-3f58-40b3-b130-6ca58cdaaef7,Brandon Boyd,22,Female,Single,Bachelor,Horticultural consultant,96432,97202.0,67378.0,0.26720881002562,24.0,43.5,120.0,1.0,Credit Card,43842.666666666664,1.0,3.0,1829.3838366885007,9203.194861404969,1.0,True,False,False
25,d673227c-619d-47e3-872a-9a810fa9344d,Matthew Mcgrath,60,Female,Divorced,PhD,Herbalist,120883,252791.2857142857,,,99.0,37.0,90.0,0.42857142857142855,Home Loan,,,,6918.316857118387,12195.083395985132,1.0,False,True,False
25,d673227c-619d-47e3-872a-9a810fa9344d,Matthew Mcgrath,60,Female,Divorced,PhD,Herbalist,120883,252791.2857142857,,,99.0,37.0,90.0,0.42857142857142855,Personal Loan,,,,6918.316857118387,12195.083395985132,1.0,False,False,True
26,8f7e2654-8258-445d-9d65-62f2fcb9d708,Dr. John Howell,28,Female,Married,PhD,"Education officer, museum",121392,155132.0,,,1.0,55.0,60.0,0.0,Personal Loan,,,,24384.758282760922,10139.286031243091,3.0,False,False,True
27,1175d8bd-7ab5-4a6d-8449-2dc1ef67733b,Mr. Brett Hernandez,40,Female,Single,High School,"Administrator, arts",65777,,,,,,,,,254676.0,1.0,1.0,16087.731935708158,7914.033185783328,3.0,False,False,False
28,f825c476-f2fa-4e02-be76-1c5737eaca38,Marie Sutton,62,Female,Divorced,Bachelor,"Administrator, education",90680,77076.0,107173.0,0.2079763362339764,13.0,54.0,120.0,0.0,Credit Card,,,,0.0,18573.79927643742,0.0,True,False,False
29,a451ffdf-f856-4790-a59e-b1687425fb2b,Anthony Morales,36,Female,Single,PhD,English as a second language teacher,27232,124032.33333333333,41958.0,0.39058372115912177,54.0,36.666666666666664,120.0,0.3333333333333333,Personal Loan,,,,0.0,14748.010125767876,0.0,False,False,True
29,a451ffdf-f856-4790-a59e-b1687425fb2b,Anthony Morales,36,Female,Single,PhD,English as a second language teacher,27232,124032.33333333333,41958.0,0.39058372115912177,54.0,36.666666666666664,120.0,0.3333333333333333,Credit Card,,,,0.0,14748.010125767876,0.0,True,False,False
30,854a4f7f-2c0f-4d0d-91ce-d6eb659bcc7d,Michael Payne,33,Male,Married,PhD,"Presenter, broadcasting",125118,22933.0,57569.0,0.35342296639452075,7.0,34.0,30.0,1.0,Credit Card,124621.33333333333,3.0,3.0,287.558799980113,13335.054073736654,1.0,True,False,False
31,78a34017-eb3f-4d8c-aeb0-91f24cb241c7,Kristin Miller,49,Female,Divorced,Master,Analytical chemist,113114,167701.4,31823.5,0.6108302071641978,76.0,41.8,90.0,0.0,Credit Card,,,,,,,True,False,False
31,78a34017-eb3f-4d8c-aeb0-91f24cb241c7,Kristin Miller,49,Female,Divorced,Master,Analytical chemist,113114,167701.4,31823.5,0.6108302071641978,76.0,41.8,90.0,0.0,Home Loan,,,,,,,False,True,False
32,94fd3ad2-d7eb-4a35-a8e8-cccfbb62a4fe,Craig Hughes,32,Male,Married,PhD,Social worker,139449,164431.0,120872.0,0.6231370150040736,24.0,29.333333333333332,60.0,0.3333333333333333,Personal Loan,,,,0.0,5322.9661216541635,0.0,False,False,True
32,94fd3ad2-d7eb-4a35-a8e8-cccfbb62a4fe,Craig Hughes,32,Male,Married,PhD,Social worker,139449,164431.0,120872.0,0.6231370150040736,24.0,29.333333333333332,60.0,0.3333333333333333,Credit Card,,,,0.0,5322.9661216541635,0.0,True,False,False
32,94fd3ad2-d7eb-4a35-a8e8-cccfbb62a4fe,Craig Hughes,32,Male,Married,PhD,Social worker,139449,164431.0,120872.0,0.6231370150040736,24.0,29.333333333333332,60.0,0.3333333333333333,Home Loan,,,,0.0,5322.9661216541635,0.0,False,True,False
33,536ae20c-8703-4a04-91fc-38e7259dbe2e,Amanda Baker,42,Female,Single,High School,Environmental education officer,54916,251030.0,,,19.0,47.0,60.0,1.0,Personal Loan,,,,0.0,14591.145418678236,0.0,False,False,True
33,536ae20c-8703-4a04-91fc-38e7259dbe2e,Amanda Baker,42,Female,Single,High School,Environmental education officer,54916,251030.0,,,19.0,47.0,60.0,1.0,Home Loan,,,,0.0,14591.145418678236,0.0,False,True,False
34,d1163f2a-cd0e-4a02-b67b-05bd1f63f6ba,Robert Johnson,35,Male,Divorced,High School,Sports administrator,43321,110076.75,52900.5,0.4673060123702561,62.0,27.5,90.0,0.25,Home Loan,152520.0,1.0,1.0,0.0,17982.71184731379,0.0,False,True,False
34,d1163f2a-cd0e-4a02-b67b-05bd1f63f6ba,Robert Johnson,35,Male,Divorced,High School,Sports administrator,43321,110076.75,52900.5,0.4673060123702561,62.0,27.5,90.0,0.25,Credit Card,152520.0,1.0,1.0,0.0,17982.71184731379,0.0,True,False,False
35,0f9c7e2d-d1bc-402d-87fe-2e7107c176e6,Alicia Padilla DDS,45,Male,Married,Bachelor,Research scientist (medical),121669,187224.75,93242.0,0.34334543733922895,68.0,50.5,120.0,0.75,Home Loan,8796.0,1.0,2.0,9016.41931848063,10792.556284985412,2.0,False,True,False
35,0f9c7e2d-d1bc-402d-87fe-2e7107c176e6,Alicia Padilla DDS,45,Male,Married,Bachelor,Research scientist (medical),121669,187224.75,93242.0,0.34334543733922895,68.0,50.5,120.0,0.75,Credit Card,8796.0,1.0,2.0,9016.41931848063,10792.556284985412,2.0,True,False,False
35,0f9c7e2d-d1bc-402d-87fe-2e7107c176e6,Alicia Padilla DDS,45,Male,Married,Bachelor,Research scientist (medical),121669,187224.75,93242.0,0.34334543733922895,68.0,50.5,120.0,0.75,Personal Loan,8796.0,1.0,2.0,9016.41931848063,10792.556284985412,2.0,False,False,True
36,9a84d591-43d6-449e-9525-e77195e916cb,John Williams,37,Female,Divorced,Bachelor,Structural engineer,22739,241132.66666666666,110995.0,0.7909465234613908,20.0,30.0,90.0,0.0,Home Loan,,,,0.0,8520.154489700206,0.0,False,True,False
36,9a84d591-43d6-449e-9525-e77195e916cb,John Williams,37,Female,Divorced,Bachelor,Structural engineer,22739,241132.66666666666,110995.0,0.7909465234613908,20.0,30.0,90.0,0.0,Credit Card,,,,0.0,8520.154489700206,0.0,True,False,False
36,9a84d591-43d6-449e-9525-e77195e916cb,John Williams,37,Female,Divorced,Bachelor,Structural engineer,22739,241132.66666666666,110995.0,0.7909465234613908,20.0,30.0,90.0,0.0,Personal Loan,,,,0.0,8520.154489700206,0.0,False,False,True
37,99e362b0-101f-41fe-a564-e977921693d4,Crystal Schmitt,41,Female,Divorced,PhD,Careers information officer,40604,214769.0,,,33.0,26.5,60.0,0.0,Home Loan,99424.0,1.0,1.0,0.0,8700.079197114412,0.0,False,True,False
38,a0da6457-cac4-44d5-8575-06645f18b1e8,Mark Flores,38,Male,Divorced,Master,Futures trader,33775,212344.25,67294.0,0.5994992628880649,55.0,31.0,120.0,0.75,Credit Card,128195.0,1.0,1.0,18372.923519696702,10992.780039220039,3.0,True,False,False
38,a0da6457-cac4-44d5-8575-06645f18b1e8,Mark Flores,38,Male,Divorced,Master,Futures trader,33775,212344.25,67294.0,0.5994992628880649,55.0,31.0,120.0,0.75,Personal Loan,128195.0,1.0,1.0,18372.923519696702,10992.780039220039,3.0,False,False,True
39,d580a92c-f087-4a40-b474-00152501481f,Kristi Olson,47,Female,Divorced,High School,Astronomer,61929,278175.25,124285.0,0.13432598537374107,35.0,35.0,120.0,0.5,Personal Loan,,,,0.0,15287.857642550904,0.0,False,False,True
39,d580a92c-f087-4a40-b474-00152501481f,Kristi Olson,47,Female,Divorced,High School,Astronomer,61929,278175.25,124285.0,0.13432598537374107,35.0,35.0,120.0,0.5,Credit Card,,,,0.0,15287.857642550904,0.0,True,False,False
39,d580a92c-f087-4a40-b474-00152501481f,Kristi Olson,47,Female,Divorced,High School,Astronomer,61929,278175.25,124285.0,0.13432598537374107,35.0,35.0,120.0,0.5,Home Loan,,,,0.0,15287.857642550904,0.0,False,True,False
40,00a59dd3-b30e-432a-b0d9-f63027f8ff71,Adam Bailey,36,Male,Divorced,Bachelor,Chemical engineer,86239,238620.42857142858,60676.0,0.5932152295735629,75.0,44.285714285714285,30.0,0.42857142857142855,Home Loan,56868.0,1.0,1.0,0.0,17804.15564071137,0.0,False,True,False
40,00a59dd3-b30e-432a-b0d9-f63027f8ff71,Adam Bailey,36,Male,Divorced,Bachelor,Chemical engineer,86239,238620.42857142858,60676.0,0.5932152295735629,75.0,44.285714285714285,30.0,0.42857142857142855,Personal Loan,56868.0,1.0,1.0,0.0,17804.15564071137,0.0,False,False,True
40,00a59dd3-b30e-432a-b0d9-f63027f8ff71,Adam Bailey,36,Male,Divorced,Bachelor,Chemical engineer,86239,238620.42857142858,60676.0,0.5932152295735629,75.0,44.285714285714285,30.0,0.42857142857142855,Credit Card,56868.0,1.0,1.0,0.0,17804.15564071137,0.0,True,False,False
41,8bee55ab-70a5-4b8d-bf69-cda5e1b28c41,Vincent Joseph,28,Male,Divorced,Bachelor,"Scientist, physiological",114001,310719.5,116680.0,0.9015856720576272,46.0,32.0,120.0,0.5,Home Loan,98950.0,1.0,1.0,0.0,7097.161254532334,0.0,False,True,False
41,8bee55ab-70a5-4b8d-bf69-cda5e1b28c41,Vincent Joseph,28,Male,Divorced,Bachelor,"Scientist, physiological",114001,310719.5,116680.0,0.9015856720576272,46.0,32.0,120.0,0.5,Credit Card,98950.0,1.0,1.0,0.0,7097.161254532334,0.0,True,False,False
42,6a60910a-ec47-45a9-819a-6f5b6d705e26,Gary Dunn,51,Female,Married,Bachelor,Site engineer,128033,115713.5,49267.5,0.7118359953236828,58.0,29.5,120.0,0.25,Credit Card,,,,0.0,15157.64223010116,0.0,True,False,False
42,6a60910a-ec47-45a9-819a-6f5b6d705e26,Gary Dunn,51,Female,Married,Bachelor,Site engineer,128033,115713.5,49267.5,0.7118359953236828,58.0,29.5,120.0,0.25,Home Loan,,,,0.0,15157.64223010116,0.0,False,True,False
43,addb6960-2a87-45b7-abac-69fd59439ede,Bradley Jones,20,Female,Divorced,Bachelor,"Engineer, manufacturing",75144,72540.66666666667,50328.0,0.43578911764151856,35.0,38.333333333333336,90.0,0.0,Credit Card,20873.5,2.0,2.0,8355.474746111639,12085.12409521729,1.0,True,False,False
44,19822360-653d-461b-a5b4-7f59bc7ab99b,Ralph Hall,50,Male,Married,Master,Pathologist,61021,307719.0,,,17.0,33.0,120.0,0.5,Personal Loan,134090.0,1.0,1.0,3256.2877054977416,6289.8084454955415,1.0,False,False,True
44,19822360-653d-461b-a5b4-7f59bc7ab99b,Ralph Hall,50,Male,Married,Master,Pathologist,61021,307719.0,,,17.0,33.0,120.0,0.5,Home Loan,134090.0,1.0,1.0,3256.2877054977416,6289.8084454955415,1.0,False,True,False
45,633df574-853a-4d94-bbde-04871de2c25e,Oscar Dyer,36,Male,Single,Master,"Pharmacist, community",49251,103229.0,120953.0,0.2594215869740878,20.0,37.5,90.0,1.0,Home Loan,,,,8992.562388267526,9573.45926608342,1.0,False,True,False
45,633df574-853a-4d94-bbde-04871de2c25e,Oscar Dyer,36,Male,Single,Master,"Pharmacist, community",49251,103229.0,120953.0,0.2594215869740878,20.0,37.5,90.0,1.0,Credit Card,,,,8992.562388267526,9573.45926608342,1.0,True,False,False
46,037d5892-b273-4109-b5aa-3dad435fe9fe,Stephanie Liu,36,Female,Divorced,High School,Geoscientist,97309,36962.0,96811.0,0.5241200590927029,23.0,38.0,60.0,1.0,Home Loan,34252.0,1.0,1.0,4905.3743373847365,14935.73294441743,1.0,False,True,False
46,037d5892-b273-4109-b5aa-3dad435fe9fe,Stephanie Liu,36,Female,Divorced,High School,Geoscientist,97309,36962.0,96811.0,0.5241200590927029,23.0,38.0,60.0,1.0,Credit Card,34252.0,1.0,1.0,4905.3743373847365,14935.73294441743,1.0,True,False,False
47,130ffd0f-3e62-4687-8173-5a9a1a00ed7b,Tammy Grant,33,Female,Single,PhD,Medical physicist,69439,472758.0,,,4.0,38.0,120.0,1.0,Personal Loan,,,,14962.309146985252,11843.991285556105,4.0,False,False,True
48,b25bb90f-efb0-48b0-9de6-743fd0a01aa3,Margaret Bennett,36,Female,Divorced,High School,"Chemist, analytical",45932,375949.0,,,18.0,55.0,15.0,0.0,Home Loan,,,,0.0,14660.977048667584,0.0,False,True,False
49,af79057a-6aa3-4993-b6bb-28b40e8fb07e,Brittany Mccarthy,36,Male,Single,Bachelor,"Psychologist, sport and exercise",86227,430281.0,,,17.0,59.0,30.0,0.0,Personal Loan,,,,9230.95802689538,10449.892963626642,2.0,False,False,True
50,24862b46-6741-42fb-8636-b4c960d7d581,Terri Yates,37,Male,Divorced,Bachelor,"Teacher, music",110378,141018.5,88277.0,0.8487179439373396,45.0,44.75,90.0,0.25,Personal Loan,364144.0,1.0,1.0,5536.418266431831,9029.760602421835,1.0,False,False,True
50,24862b46-6741-42fb-8636-b4c960d7d581,Terri Yates,37,Male,Divorced,Bachelor,"Teacher, music",110378,141018.5,88277.0,0.8487179439373396,45.0,44.75,90.0,0.25,Credit Card,364144.0,1.0,1.0,5536.418266431831,9029.760602421835,1.0,True,False,False
51,924a4320-dcb1-40af-afe7-32c0d26d0ab0,Ms. Amanda Wagner,58,Male,Single,Bachelor,Chief Marketing Officer,114903,156123.0,,,11.0,21.0,15.0,1.0,Personal Loan,122813.0,2.0,2.0,5470.982541701921,7456.299639225702,1.0,False,False,True
52,6a796b37-14ee-4d65-850c-82efd41a3793,Larry Maddox,34,Female,Divorced,PhD,Legal executive,116268,223207.0,123252.0,0.6501375768751546,18.0,27.666666666666668,120.0,0.3333333333333333,Home Loan,,,,11780.616245247636,11942.766133973993,2.0,False,True,False
52,6a796b37-14ee-4d65-850c-82efd41a3793,Larry Maddox,34,Female,Divorced,PhD,Legal executive,116268,223207.0,123252.0,0.6501375768751546,18.0,27.666666666666668,120.0,0.3333333333333333,Credit Card,,,,11780.616245247636,11942.766133973993,2.0,True,False,False
53,6fa47af9-c927-40bb-b488-2e873fdf9c5a,Michelle Navarro,31,Female,Divorced,High School,"Surveyor, hydrographic",71090,81135.33333333333,69418.5,0.4627893346440278,28.0,42.0,30.0,1.0,Credit Card,,,,0.0,17710.6369377175,0.0,True,False,False
